1; 1; 48, 70; 12
1; 1;; 18
1; 2; 38, 89, 93, 36, 85; 0
1; 2;; 18
1; 3; 83, 8, 82; 14
1; 3;; 25
1; 4; 23, 47, 7, 88, 20; 0
1; 4; 51, 75; 10
1; 5; 25, 58, 74; 7
1; 5;; 18
1; 6; 92, 24, 62, 31, 61; 0
1; 6; 59, 63; 10
1; 7; 27, 18, 19, 12, 78; 2
1; 7; 26, 76, 94, 73, 33; 3
1; 8; 64, 1; 10
1; 8;; 18
1; 9; 95, 15, 21, 32, 66, 17; 0
1; 9; 37, 55, 34, 43, 42, 67, 60; 1
1; 10; 40, 91, 35, 16, 84, 29, 30, 22, 71; 0
1; 10; 90, 2, 77, 45, 86, 87, 79; 3
2; 1; 32; 15
2; 1;; 18
2; 2; 37, 16, 78, 40; 1
2; 2; 47, 84, 90, 91; 4
2; 3; 25, 93, 61, 58, 48, 1, 77; 2
2; 3;; 25
2; 4; 42, 83, 92, 34, 27; 0
2; 4; 2, 12, 22, 24; 3
2; 5; 89, 31, 38, 35; 6
2; 5;; 18
2; 6; 30, 64, 29; 7
2; 6;; 18
2; 7; 36, 62, 7, 82, 8; 0
2; 7; 55, 17, 51, 15; 1
2; 8; 88; 14
2; 8;; 18
2; 9; 63, 59, 33, 71, 74, 87, 94; 2
2; 9; 76, 85, 79, 86, 26, 45, 75; 0
2; 10; 73, 95, 67, 66, 23, 70, 19, 21; 0
2; 10; 60, 43, 20, 18; 17
