2,2
events
1,18
2,18
3,25
4,18
5,18
6,18
7,20
8,18
9,26
10,30
groups
1,3,8,9,3,10,2
2,4,10,9,4,1,6
7,4,4,7,5,9,10
8,3,3,7,2,9,10
12,3,7,9,4,10,5
15,5,9,7,10,4,2
16,5,10,2,7,4,5
17,5,9,7,10,4,6
18,4,7,9,10,4,3
19,3,7,10,9,4,6
20,3,4,9,10,5,1
21,3,9,10,7,3,2
22,3,10,9,4,10,9
23,3,4,10,9,3,2
24,5,6,9,4,10,2
25,4,5,3,6,7,4
26,3,9,7,6,2,5
27,4,7,9,4,6,10
29,3,10,6,3,7,9
30,3,10,6,3,7,9
31,3,6,9,5,1,4
32,3,9,1,6,4,10
33,3,9,7,10,4,4
34,3,9,4,2,10,7
35,3,10,9,7,5,6
36,5,9,2,7,4,10
37,4,9,2,7,4,10
38,3,2,9,7,5,3
40,4,10,2,4,3,9
42,4,9,4,7,10,2
43,3,9,10,7,6,3
45,5,9,10,7,2,1
47,4,4,9,2,10,7
48,3,1,9,3,7,2
51,5,4,7,3,9,10
55,4,9,7,10,3,6
58,3,5,3,7,9,2
59,4,9,9,6,6,3
60,3,9,10,7,4,2
61,3,6,3,9,4,7
62,4,6,7,10,9,4
63,4,9,10,6,7,5
64,5,8,6,10,7,2
66,5,9,10,7,6,4
67,4,9,10,7,6,4
70,3,1,10,5,9,6
71,3,9,10,7,2,1
73,4,9,7,10,6,2
74,4,9,5,10,2,6
75,3,9,4,3,10,2
76,4,9,7,10,5,3
77,4,10,9,7,4,3
78,4,7,2,10,9,4
79,3,9,10,6,7,4
82,4,3,7,4,10,6
83,4,3,4,10,1,5
84,3,10,9,2,3,4
85,4,9,2,10,4,7
86,4,9,10,1,7,2
87,3,9,10,7,8,5
88,4,4,9,7,8,5
89,3,2,5,8,4,1
90,4,10,9,2,4,7
91,3,10,9,2,4,7
92,3,6,4,9,3,2
93,3,2,3,6,1,4
94,3,9,7,4,8,1
95,5,9,10,4,7,6
end
